task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
12	9b/41ae32	726917	calling_pipeline:seqseroVersion	CACHED	0	2026-01-12 18:50:54.766	1.1s	649ms	93.4%	16.7 MB	25.9 MB	3.5 MB	2.2 KB
13	01/ad435d	727648	calling_pipeline:getVersions	CACHED	0	2026-01-12 18:50:55.842	3.3s	2.9s	122.6%	80.6 MB	2.2 GB	18.4 MB	2.9 KB
15	1a/bf1612	720268	calling_pipeline:variantCheckpoint (2)	CACHED	0	2026-01-12 18:50:37.077	1.1s	14ms	37.8%	0	0	84.2 KB	1.4 KB
22	38/ad4d09	718192	calling_pipeline:annotationCheckpoint (1)	CACHED	0	2026-01-12 18:50:32.758	643ms	6ms	73.6%	0	0	84.2 KB	1.4 KB
14	53/487b84	720300	calling_pipeline:ingressCheckpoint (2)	CACHED	0	2026-01-12 18:50:37.141	1.4s	12ms	19.9%	0	0	84.4 KB	1.6 KB
21	8a/52f80e	718141	calling_pipeline:ingressCheckpoint (1)	CACHED	0	2026-01-12 18:50:32.703	613ms	6ms	87.7%	0	0	84.4 KB	1.6 KB
23	c2/44d991	718145	calling_pipeline:variantCheckpoint (1)	CACHED	0	2026-01-12 18:50:32.716	773ms	36ms	29.5%	0	0	84.2 KB	1.4 KB
18	79/5ffe22	720264	calling_pipeline:annotationCheckpoint (2)	CACHED	0	2026-01-12 18:50:37.057	1.4s	11ms	31.1%	0	0	84.2 KB	1.4 KB
17	af/469163	720288	calling_pipeline:collectFastqIngressResultsInDir (2)	CACHED	0	2026-01-12 18:50:37.123	1s	68ms	31.6%	0	0	116.7 KB	1.7 KB
19	28/e198a2	718166	calling_pipeline:collectFastqIngressResultsInDir (1)	CACHED	0	2026-01-12 18:50:32.734	856ms	54ms	36.1%	0	0	116.8 KB	1.7 KB
20	45/a13395	718232	calling_pipeline:deNovo (1)	CACHED	0	2026-01-12 18:50:32.779	1m 3s	1m 2s	243.7%	237.2 MB	725.9 MB	664.7 MB	335.9 MB
16	61/8b62f1	721190	calling_pipeline:deNovo (2)	CACHED	0	2026-01-12 18:50:38.573	5m 43s	5m 42s	243.2%	1.9 GB	2.4 GB	3.1 GB	1.7 GB
26	8f/398b94	749562	calling_pipeline:runDnaapler (2)	CACHED	0	2026-01-12 18:56:21.333	1m 23s	1m 22s	238.8%	1.1 GB	4.4 GB	87.7 MB	115 MB
25	bd/cc9250	732919	calling_pipeline:runDnaapler (1)	CACHED	0	2026-01-12 18:51:35.971	48.4s	48s	272.4%	1.1 GB	4.1 GB	62.3 MB	96.2 MB
27	9a/ea0f76	904087	calling_pipeline:alignReads (2)	CACHED	0	2026-01-12 19:02:01.853	20.3s	19.9s	289.9%	614 MB	3.7 GB	882.9 MB	735.9 MB
30	4c/6c95e3	906909	calling_pipeline:alignmentCheckpoint (2)	CACHED	0	2026-01-12 19:02:22.166	622ms	6ms	97.7%	0	0	84.3 KB	1.5 KB
28	55/0263fc	737377	calling_pipeline:alignReads (1)	CACHED	0	2026-01-12 18:52:24.431	3.7s	3.4s	272.1%	106.8 MB	402.9 MB	131.9 MB	106.2 MB
31	f7/eebf31	906890	calling_pipeline:readStats (2)	CACHED	0	2026-01-12 19:02:22.155	1.7s	1.2s	95.3%	164.5 MB	333.4 MB	169.5 MB	3.5 MB
29	82/195674	906889	calling_pipeline:coverStats (2)	CACHED	0	2026-01-12 19:02:22.147	2.3s	1.7s	205.8%	24.3 MB	230.8 MB	501 MB	502 KB
36	ac/e89fc6	738015	calling_pipeline:alignmentCheckpoint (1)	CACHED	0	2026-01-12 18:52:28.176	617ms	12ms	110.3%	0	0	84.3 KB	1.5 KB
32	1f/f5abd9	906935	calling_pipeline:splitRegions (2)	CACHED	0	2026-01-12 19:02:22.175	981ms	455ms	87.2%	8.7 MB	11.7 MB	3.5 MB	1.5 KB
33	05/9ddc50	738058	calling_pipeline:splitRegions (1)	CACHED	0	2026-01-12 18:52:28.201	1s	458ms	85.7%	7.8 MB	11.4 MB	3.5 MB	11 KB
34	56/db5848	738001	calling_pipeline:readStats (1)	CACHED	0	2026-01-12 18:52:28.157	757ms	334ms	85.7%	94.4 MB	333.4 MB	21.5 MB	1 MB
51	9a/b4c153	753651	calling_pipeline:medakaInference_consensus (9)	CACHED	0	2026-01-12 18:56:30.078	6.6s	5.8s	99.2%	320.8 MB	755.2 MB	40.2 MB	1.6 MB
35	1f/fc314f	738032	calling_pipeline:coverStats (1)	CACHED	0	2026-01-12 18:52:28.188	1.4s	931ms	173.2%	7.9 MB	214.4 MB	414.8 MB	635.7 KB
48	f1/2c3254	753172	calling_pipeline:medakaInference_consensus (6)	CACHED	0	2026-01-12 18:56:29.415	8s	7.3s	127.9%	480.4 MB	1.2 GB	40.2 MB	2 MB
49	2a/66eef9	749514	calling_pipeline:medakaInference_consensus (7)	CACHED	0	2026-01-12 18:56:21.281	8.8s	8.1s	124.8%	479.6 MB	1.2 GB	40.3 MB	2 MB
50	d1/5517ce	753165	calling_pipeline:medakaInference_consensus (8)	CACHED	0	2026-01-12 18:56:29.401	6.6s	5.8s	107.8%	371.9 MB	1.2 GB	40.2 MB	1.7 MB
44	c5/765372	756955	calling_pipeline:medakaInference_consensus (2)	CACHED	0	2026-01-12 18:56:37.385	6.8s	6.2s	109.3%	393.6 MB	1.2 GB	40.2 MB	1.7 MB
52	02/1cd04d	753646	calling_pipeline:medakaInference_consensus (10)	CACHED	0	2026-01-12 18:56:30.068	7.4s	6.7s	107.5%	376 MB	1.1 GB	40.2 MB	1.7 MB
39	7b/77ccec	907682	calling_pipeline:medakaInference_consensus (334)	CACHED	0	2026-01-12 19:02:23.225	38.2s	37.5s	177.3%	6.8 GB	7.8 GB	89 MB	35.5 MB
43	a7/bfb0e3	749615	calling_pipeline:medakaInference_consensus (1)	CACHED	0	2026-01-12 18:56:21.378	8.7s	8s	124.6%	585.5 MB	1.4 GB	40.3 MB	2.4 MB
38	22/5739f2	907617	calling_pipeline:medakaInference_consensus (333)	CACHED	0	2026-01-12 19:02:23.199	32.8s	32.2s	178.6%	6.8 GB	7.8 GB	87.6 MB	35 MB
46	8b/257cb4	753662	calling_pipeline:medakaInference_consensus (4)	CACHED	0	2026-01-12 18:56:30.090	7.5s	6.7s	113.7%	381.7 MB	1.2 GB	40.3 MB	1.7 MB
41	8e/4977c2	907660	calling_pipeline:medakaInference_consensus (336)	CACHED	0	2026-01-12 19:02:23.213	23.1s	21.9s	162.0%	3.9 GB	4.9 GB	60 MB	15.5 MB
45	f3/0351fc	756130	calling_pipeline:medakaInference_consensus (3)	CACHED	0	2026-01-12 18:56:36.001	7.8s	7.2s	119.8%	479.9 MB	1.2 GB	40.3 MB	2 MB
42	26/972c7d	907703	calling_pipeline:medakaInference_consensus (337)	CACHED	0	2026-01-12 19:02:23.244	16.7s	15.8s	155.9%	2.1 GB	2.9 GB	49.3 MB	7.9 MB
53	44/912596	749592	calling_pipeline:medakaInference_consensus (11)	CACHED	0	2026-01-12 18:56:21.363	8s	7.1s	116.9%	409.8 MB	1.1 GB	40.2 MB	1.8 MB
40	7b/401468	907598	calling_pipeline:medakaInference_consensus (335)	CACHED	0	2026-01-12 19:02:23.179	40.8s	40.2s	179.7%	6.6 GB	7.6 GB	87.9 MB	35.3 MB
37	0b/649df5	907603	calling_pipeline:medakaInference_consensus (332)	CACHED	0	2026-01-12 19:02:23.189	29.7s	29.2s	178.5%	6.6 GB	7.6 GB	84.3 MB	35 MB
56	29/2cfcfe	749640	calling_pipeline:medakaInference_consensus (14)	CACHED	0	2026-01-12 18:56:21.397	8s	7.3s	115.4%	394.1 MB	1.1 GB	40.2 MB	1.8 MB
55	a1/4ded2a	749482	calling_pipeline:medakaInference_consensus (13)	CACHED	0	2026-01-12 18:56:21.248	8.3s	7.7s	110.2%	401 MB	1.2 GB	40.2 MB	1.8 MB
47	9b/a183d3	749709	calling_pipeline:medakaInference_consensus (5)	CACHED	0	2026-01-12 18:56:21.433	8.6s	7.8s	123.7%	478.7 MB	1.2 GB	40.3 MB	2 MB
58	15/e8c434	756547	calling_pipeline:medakaInference_consensus (16)	CACHED	0	2026-01-12 18:56:36.674	6.9s	6.3s	116.5%	413.3 MB	1.1 GB	40.2 MB	1.8 MB
62	e0/748c67	759111	calling_pipeline:medakaInference_consensus (20)	CACHED	0	2026-01-12 18:56:43.574	7.5s	6.8s	121.1%	479.1 MB	1.2 GB	40.3 MB	2 MB
59	e8/845588	757107	calling_pipeline:medakaInference_consensus (17)	CACHED	0	2026-01-12 18:56:37.575	8.8s	8.3s	125.3%	597 MB	1.3 GB	40.4 MB	2.4 MB
54	1c/f4c44a	753276	calling_pipeline:medakaInference_consensus (12)	CACHED	0	2026-01-12 18:56:29.555	7s	6.4s	114.5%	379.8 MB	1.1 GB	40.2 MB	1.7 MB
67	9a/a0bfc9	762484	calling_pipeline:medakaInference_consensus (25)	CACHED	0	2026-01-12 18:56:52.228	7.1s	6.2s	110.2%	390 MB	1.1 GB	40.2 MB	1.7 MB
71	34/4607b2	771513	calling_pipeline:medakaInference_consensus (29)	CACHED	0	2026-01-12 18:57:15.187	7.5s	7s	114.9%	413.5 MB	1.1 GB	40.2 MB	1.8 MB
69	cf/45aa47	759255	calling_pipeline:medakaInference_consensus (27)	CACHED	0	2026-01-12 18:56:43.810	8.4s	7.8s	122.5%	477.7 MB	1.2 GB	40.3 MB	2 MB
63	f0/9063fd	762584	calling_pipeline:medakaInference_consensus (21)	CACHED	0	2026-01-12 18:56:52.486	8.4s	7.8s	122.6%	478.7 MB	1.2 GB	40.3 MB	2 MB
75	28/349e08	762913	calling_pipeline:medakaInference_consensus (33)	CACHED	0	2026-01-12 18:56:52.988	8s	7.5s	122.2%	480.3 MB	1.2 GB	40.3 MB	2 MB
65	05/133835	759019	calling_pipeline:medakaInference_consensus (23)	CACHED	0	2026-01-12 18:56:43.303	9.2s	8.2s	127.1%	521.2 MB	1.2 GB	40.4 MB	2.2 MB
70	80/9a575d	762634	calling_pipeline:medakaInference_consensus (28)	CACHED	0	2026-01-12 18:56:52.608	6.6s	6s	107.4%	391.3 MB	1.1 GB	40.2 MB	1.7 MB
64	7f/6812f5	760256	calling_pipeline:medakaInference_consensus (22)	CACHED	0	2026-01-12 18:56:45.503	7.5s	6.9s	125.1%	459.1 MB	1.2 GB	40.3 MB	2 MB
66	da/d12268	760643	calling_pipeline:medakaInference_consensus (24)	CACHED	0	2026-01-12 18:56:46.402	6.8s	6.2s	103.1%	362.7 MB	1.1 GB	40.2 MB	1.7 MB
73	4a/00797b	768870	calling_pipeline:medakaInference_consensus (31)	CACHED	0	2026-01-12 18:57:07.935	7.2s	6.6s	115.1%	404.6 MB	1.2 GB	40.3 MB	1.8 MB
72	7d/ede719	762110	calling_pipeline:medakaInference_consensus (30)	CACHED	0	2026-01-12 18:56:51.061	6.8s	6.1s	108.8%	383.3 MB	1.2 GB	40.2 MB	1.8 MB
68	4a/8f6e44	764673	calling_pipeline:medakaInference_consensus (26)	CACHED	0	2026-01-12 18:56:57.926	8.1s	7.1s	117.1%	480 MB	1.2 GB	40.2 MB	2 MB
61	0a/3d2e60	759620	calling_pipeline:medakaInference_consensus (19)	CACHED	0	2026-01-12 18:56:44.152	8.4s	7.9s	121.7%	479.5 MB	1.2 GB	40.3 MB	2 MB
57	19/58259d	756508	calling_pipeline:medakaInference_consensus (15)	CACHED	0	2026-01-12 18:56:36.595	6.7s	6s	101.3%	343.9 MB	1.1 GB	40.2 MB	1.6 MB
77	85/eb329e	765158	calling_pipeline:medakaInference_consensus (35)	CACHED	0	2026-01-12 18:56:59.259	7.9s	7.3s	121.6%	479 MB	1.2 GB	40.3 MB	2 MB
60	54/08aa3f	756985	calling_pipeline:medakaInference_consensus (18)	CACHED	0	2026-01-12 18:56:37.438	8.1s	7.5s	124.4%	480 MB	1.2 GB	40.3 MB	2 MB
74	19/9f2082	763104	calling_pipeline:medakaInference_consensus (32)	CACHED	0	2026-01-12 18:56:53.170	8.1s	7.6s	123.4%	478 MB	1.2 GB	40.2 MB	2 MB
76	ff/57d613	769396	calling_pipeline:medakaInference_consensus (34)	CACHED	0	2026-01-12 18:57:09.260	7.4s	6.9s	113.5%	394.1 MB	1.1 GB	40.2 MB	1.8 MB
84	c4/8dcb23	765180	calling_pipeline:medakaInference_consensus (42)	CACHED	0	2026-01-12 18:56:59.291	6.7s	6s	105.9%	361.1 MB	1.1 GB	40.2 MB	1.7 MB
82	2b/959993	765821	calling_pipeline:medakaInference_consensus (40)	CACHED	0	2026-01-12 18:57:00.908	8.3s	7.9s	125.7%	509.2 MB	1.2 GB	40.5 MB	2.2 MB
81	58/2d0070	767816	calling_pipeline:medakaInference_consensus (39)	CACHED	0	2026-01-12 18:57:05.996	8.8s	7.9s	120.6%	538.3 MB	1.3 GB	40.4 MB	2.2 MB
88	89/63c02b	771287	calling_pipeline:medakaInference_consensus (46)	CACHED	0	2026-01-12 18:57:14.811	8.8s	8.2s	122.7%	478.7 MB	1.3 GB	40.2 MB	2 MB
87	9c/f519b6	770560	calling_pipeline:medakaInference_consensus (45)	CACHED	0	2026-01-12 18:57:12.774	7.1s	6.5s	116.3%	391.3 MB	1.2 GB	40.2 MB	1.8 MB
86	e8/8430b2	768353	calling_pipeline:medakaInference_consensus (44)	CACHED	0	2026-01-12 18:57:07.192	7.6s	6.8s	119.3%	409.8 MB	1.1 GB	40.2 MB	1.8 MB
89	3d/53b5d4	772285	calling_pipeline:medakaInference_consensus (47)	CACHED	0	2026-01-12 18:57:16.715	6.6s	6.1s	108.3%	382.6 MB	1.1 GB	40.2 MB	1.7 MB
83	f3/a5e91a	769287	calling_pipeline:medakaInference_consensus (41)	CACHED	0	2026-01-12 18:57:08.900	6.5s	6s	106.2%	364.5 MB	1.1 GB	40.2 MB	1.7 MB
80	c5/faec90	765944	calling_pipeline:medakaInference_consensus (38)	CACHED	0	2026-01-12 18:57:00.976	7.9s	7.5s	127.2%	520.2 MB	1.3 GB	40.3 MB	2.2 MB
78	d0/f4526b	766149	calling_pipeline:medakaInference_consensus (36)	CACHED	0	2026-01-12 18:57:01.265	6.7s	6s	110.7%	393 MB	1.2 GB	40.2 MB	1.7 MB
90	7e/b5b2b5	771762	calling_pipeline:medakaInference_consensus (48)	CACHED	0	2026-01-12 18:57:15.426	6.2s	5.7s	107.7%	357.7 MB	1.1 GB	40.2 MB	1.7 MB
79	98/cee748	767823	calling_pipeline:medakaInference_consensus (37)	CACHED	0	2026-01-12 18:57:06.010	6.7s	6.2s	111.1%	392.6 MB	1.1 GB	40.2 MB	1.7 MB
85	41/acca19	771288	calling_pipeline:medakaInference_consensus (43)	CACHED	0	2026-01-12 18:57:14.824	6.5s	6s	110.2%	384.7 MB	1.1 GB	40.2 MB	1.7 MB
100	9f/0efc06	782474	calling_pipeline:medakaInference_consensus (58)	CACHED	0	2026-01-12 18:57:43.238	6.2s	5.6s	104.7%	353.2 MB	1.1 GB	40.2 MB	1.7 MB
102	fd/1cf7c1	777106	calling_pipeline:medakaInference_consensus (60)	CACHED	0	2026-01-12 18:57:29.436	7.5s	6.9s	114.9%	398.5 MB	1.1 GB	40.2 MB	1.7 MB
101	4a/6a845d	777397	calling_pipeline:medakaInference_consensus (59)	CACHED	0	2026-01-12 18:57:30.092	6.1s	5.6s	110.0%	346.4 MB	1.1 GB	40.2 MB	1.7 MB
93	bc/c79602	776970	calling_pipeline:medakaInference_consensus (51)	CACHED	0	2026-01-12 18:57:29.077	6.5s	5.9s	113.7%	369.5 MB	1.1 GB	40.2 MB	1.7 MB
92	78/4d471b	773361	calling_pipeline:medakaInference_consensus (50)	CACHED	0	2026-01-12 18:57:19.846	7.6s	7s	121.8%	438 MB	1.2 GB	40.2 MB	2 MB
95	77/f2c116	773909	calling_pipeline:medakaInference_consensus (53)	CACHED	0	2026-01-12 18:57:21.291	8.1s	7.6s	126.3%	480.3 MB	1.2 GB	40.3 MB	2 MB
98	95/513e28	774948	calling_pipeline:medakaInference_consensus (56)	CACHED	0	2026-01-12 18:57:23.307	6.8s	6.3s	108.5%	377.6 MB	1.1 GB	40.2 MB	1.7 MB
96	2a/e4d6c2	775118	calling_pipeline:medakaInference_consensus (54)	CACHED	0	2026-01-12 18:57:23.675	7.6s	7.2s	121.9%	478.1 MB	1.2 GB	40.2 MB	2 MB
97	98/3a4874	777904	calling_pipeline:medakaInference_consensus (55)	CACHED	0	2026-01-12 18:57:31.332	6.5s	5.8s	106.8%	361.4 MB	1.2 GB	40.2 MB	1.7 MB
91	a9/f8299a	774063	calling_pipeline:medakaInference_consensus (49)	CACHED	0	2026-01-12 18:57:21.639	7.4s	6.7s	113.0%	403.3 MB	1.1 GB	40.2 MB	1.8 MB
109	9a/6353e9	785535	calling_pipeline:medakaInference_consensus (67)	CACHED	0	2026-01-12 18:57:49.438	8.2s	7.5s	122.2%	478.5 MB	1.3 GB	40.2 MB	2 MB
94	59/89fa0d	774440	calling_pipeline:medakaInference_consensus (52)	CACHED	0	2026-01-12 18:57:22.674	8.6s	8.1s	124.4%	509.4 MB	1.2 GB	40.3 MB	2.2 MB
106	b6/f2a860	780611	calling_pipeline:medakaInference_consensus (64)	CACHED	0	2026-01-12 18:57:37.894	7.3s	6.8s	111.1%	395.6 MB	1.2 GB	40.3 MB	1.7 MB
104	d7/4e9ed8	779329	calling_pipeline:medakaInference_consensus (62)	CACHED	0	2026-01-12 18:57:35.610	7.9s	7.3s	123.2%	478.4 MB	1.3 GB	40.2 MB	2 MB
110	dc/5688e0	780685	calling_pipeline:medakaInference_consensus (68)	CACHED	0	2026-01-12 18:57:38.088	8.1s	7.6s	128.5%	519.8 MB	1.2 GB	40.5 MB	2.2 MB
107	15/94194d	779736	calling_pipeline:medakaInference_consensus (65)	CACHED	0	2026-01-12 18:57:36.200	7s	6.5s	121.8%	459.7 MB	1.2 GB	40.3 MB	2 MB
103	b7/8180a3	782947	calling_pipeline:medakaInference_consensus (61)	CACHED	0	2026-01-12 18:57:44.095	8s	7.5s	129.8%	533.6 MB	1.2 GB	40.3 MB	2.2 MB
108	93/82558c	777881	calling_pipeline:medakaInference_consensus (66)	CACHED	0	2026-01-12 18:57:31.295	6.8s	6.1s	108.1%	380.3 MB	1.2 GB	40.2 MB	1.7 MB
115	ee/98ad88	782962	calling_pipeline:medakaInference_consensus (73)	CACHED	0	2026-01-12 18:57:44.114	7.2s	6.7s	122.7%	459.1 MB	1.2 GB	40.3 MB	2 MB
112	ae/f36ea7	780118	calling_pipeline:medakaInference_consensus (70)	CACHED	0	2026-01-12 18:57:36.914	7.6s	7.2s	123.0%	478.1 MB	1.3 GB	40.3 MB	2 MB
99	d0/55d99b	776271	calling_pipeline:medakaInference_consensus (57)	CACHED	0	2026-01-12 18:57:27.473	8.4s	7.8s	125.9%	522.1 MB	1.2 GB	40.3 MB	2.2 MB
117	d5/e52a3d	785508	calling_pipeline:medakaInference_consensus (75)	CACHED	0	2026-01-12 18:57:49.418	8.2s	7.6s	120.0%	479.1 MB	1.2 GB	40.3 MB	2 MB
119	43/e6b00e	783703	calling_pipeline:medakaInference_consensus (77)	CACHED	0	2026-01-12 18:57:45.177	6.7s	6.1s	112.7%	394.8 MB	1.1 GB	40.2 MB	1.7 MB
113	2d/5d5877	782256	calling_pipeline:medakaInference_consensus (71)	CACHED	0	2026-01-12 18:57:42.856	6.6s	5.9s	110.8%	375.5 MB	1.2 GB	40.2 MB	1.7 MB
111	f0/208604	782604	calling_pipeline:medakaInference_consensus (69)	CACHED	0	2026-01-12 18:57:43.494	7.8s	7.3s	123.0%	478.6 MB	1.3 GB	40.3 MB	2 MB
124	69/e581fc	786729	calling_pipeline:medakaInference_consensus (82)	CACHED	0	2026-01-12 18:57:51.856	7.2s	6.7s	108.1%	383.9 MB	1 GB	40.2 MB	1.7 MB
116	c5/33c05a	783394	calling_pipeline:medakaInference_consensus (74)	CACHED	0	2026-01-12 18:57:44.563	7.2s	6.6s	117.1%	395.5 MB	1.1 GB	40.2 MB	1.8 MB
122	a5/74f23a	786956	calling_pipeline:medakaInference_consensus (80)	CACHED	0	2026-01-12 18:57:52.137	7.8s	7.2s	119.8%	479.5 MB	1.2 GB	40.3 MB	2 MB
118	91/83241a	786334	calling_pipeline:medakaInference_consensus (76)	CACHED	0	2026-01-12 18:57:51.289	6.4s	5.7s	106.1%	359.2 MB	1.1 GB	40.2 MB	1.7 MB
121	81/a93df0	786353	calling_pipeline:medakaInference_consensus (79)	CACHED	0	2026-01-12 18:57:51.318	6.8s	6.1s	110.2%	380.8 MB	1.2 GB	40.2 MB	1.7 MB
105	3c/86be7c	779527	calling_pipeline:medakaInference_consensus (63)	CACHED	0	2026-01-12 18:57:35.902	6.9s	6.5s	112.5%	386.9 MB	1.1 GB	40.2 MB	1.7 MB
114	ea/afbc2a	787496	calling_pipeline:medakaInference_consensus (72)	CACHED	0	2026-01-12 18:57:53.033	6.2s	5.8s	102.9%	357.2 MB	1.1 GB	40.2 MB	1.7 MB
123	5d/165adf	786696	calling_pipeline:medakaInference_consensus (81)	CACHED	0	2026-01-12 18:57:51.809	6.9s	6.3s	103.5%	373.8 MB	1.1 GB	40.2 MB	1.7 MB
120	7f/3ad087	789266	calling_pipeline:medakaInference_consensus (78)	CACHED	0	2026-01-12 18:57:57.613	7.4s	6.9s	114.8%	401 MB	1.1 GB	40.3 MB	1.8 MB
127	d5/15adf7	789376	calling_pipeline:medakaInference_consensus (85)	CACHED	0	2026-01-12 18:57:57.720	6.7s	6.1s	110.2%	383 MB	1.1 GB	40.2 MB	1.7 MB
126	72/807903	789270	calling_pipeline:medakaInference_consensus (84)	CACHED	0	2026-01-12 18:57:57.623	6.8s	6.2s	106.2%	368.3 MB	1.1 GB	40.2 MB	1.7 MB
125	c0/635548	784221	calling_pipeline:medakaInference_consensus (83)	CACHED	0	2026-01-12 18:57:46.218	6.8s	6.3s	110.0%	399.3 MB	1.1 GB	40.2 MB	1.8 MB
137	8e/b35993	796634	calling_pipeline:medakaInference_consensus (95)	CACHED	0	2026-01-12 18:58:12.152	6.6s	6s	104.3%	360.6 MB	1.1 GB	40.2 MB	1.6 MB
136	27/64e1a5	797556	calling_pipeline:medakaInference_consensus (94)	CACHED	0	2026-01-12 18:58:13.749	8s	7.5s	122.9%	478.9 MB	1.2 GB	40.3 MB	2 MB
139	cd/714792	797624	calling_pipeline:medakaInference_consensus (97)	CACHED	0	2026-01-12 18:58:13.787	6.4s	5.8s	104.9%	365.5 MB	1 GB	40.2 MB	1.7 MB
132	fc/107ecf	790240	calling_pipeline:medakaInference_consensus (90)	CACHED	0	2026-01-12 18:57:59.053	7s	6.5s	112.0%	386.3 MB	1.1 GB	40.2 MB	1.7 MB
128	74/3a6bdd	789721	calling_pipeline:medakaInference_consensus (86)	CACHED	0	2026-01-12 18:57:58.144	7.1s	6.5s	114.1%	393.3 MB	1.2 GB	40.3 MB	1.8 MB
135	45/0e05b6	795922	calling_pipeline:medakaInference_consensus (93)	CACHED	0	2026-01-12 18:58:10.915	8s	7.4s	126.6%	478 MB	1.2 GB	40.3 MB	2 MB
131	8c/adbd38	790128	calling_pipeline:medakaInference_consensus (89)	CACHED	0	2026-01-12 18:57:58.678	6.9s	6.4s	105.4%	364.6 MB	1.1 GB	40.2 MB	1.7 MB
141	bb/5e8b82	797128	calling_pipeline:medakaInference_consensus (99)	CACHED	0	2026-01-12 18:58:12.962	6.5s	6.1s	106.4%	382.3 MB	1 GB	40.2 MB	1.7 MB
133	9e/aaf104	793501	calling_pipeline:medakaInference_consensus (91)	CACHED	0	2026-01-12 18:58:05.588	6.4s	6s	105.2%	368.5 MB	1.2 GB	40.2 MB	1.7 MB
130	a1/d471d7	790855	calling_pipeline:medakaInference_consensus (88)	CACHED	0	2026-01-12 18:57:59.926	6.2s	5.7s	100.5%	347.4 MB	1.1 GB	40.2 MB	1.6 MB
134	b0/7d55d7	793733	calling_pipeline:medakaInference_consensus (92)	CACHED	0	2026-01-12 18:58:05.989	7.7s	7.2s	122.0%	458.9 MB	1.2 GB	40.2 MB	2 MB
140	b9/f370a2	793926	calling_pipeline:medakaInference_consensus (98)	CACHED	0	2026-01-12 18:58:06.107	6.8s	6.3s	110.1%	384.2 MB	1 GB	40.2 MB	1.7 MB
142	f8/12cac7	797873	calling_pipeline:medakaInference_consensus (100)	CACHED	0	2026-01-12 18:58:14.196	6.9s	6.5s	104.0%	364.1 MB	1.1 GB	40.2 MB	1.6 MB
129	23/8059b8	790419	calling_pipeline:medakaInference_consensus (87)	CACHED	0	2026-01-12 18:57:59.277	6.7s	6.2s	106.3%	382.9 MB	1.1 GB	40.2 MB	1.7 MB
138	db/63fd26	796572	calling_pipeline:medakaInference_consensus (96)	CACHED	0	2026-01-12 18:58:12.017	6s	5.5s	107.2%	362.6 MB	1.1 GB	40.2 MB	1.7 MB
143	40/420ad4	796303	calling_pipeline:medakaInference_consensus (101)	CACHED	0	2026-01-12 18:58:11.413	8.5s	7.8s	123.9%	458.4 MB	1.2 GB	40.2 MB	2 MB
145	b7/8a0abd	792679	calling_pipeline:medakaInference_consensus (103)	CACHED	0	2026-01-12 18:58:04.432	7s	6.3s	108.2%	392 MB	1.1 GB	40.2 MB	1.7 MB
144	80/696b4c	792695	calling_pipeline:medakaInference_consensus (102)	CACHED	0	2026-01-12 18:58:04.456	6.4s	5.9s	112.6%	385.3 MB	1.1 GB	40.2 MB	1.7 MB
146	87/645ec6	793780	calling_pipeline:medakaInference_consensus (104)	CACHED	0	2026-01-12 18:58:06.024	8.2s	7.6s	124.8%	479.6 MB	1.2 GB	40.4 MB	2 MB
